"","Transect","Station","Tile.Type","Altitude","Emersion.Rate","AltGroup","EmGroup","S_mean","Pielou_mean","Cover_stability_alpha","Cover_stability_alpha_res","Asynchrony_corr_time","Consumer_mean","Limpet_mean","Whelk_mean","Ac_invertebrates_mean","Eph_macroalgae_mean","Barnacles1_mean","Barnacles2_mean","Species_stability","Pop_stab","Statistical_averaging","Asynchrony_ratio_time","n_timepoints2","Compositional_similarity","n_composition"
"1",1,1,"R",53.7460165,0.54358084184075,"[52.0,54.2]","[0.383,0.589]",7.9,1.37549285419084,6.97233355838772,7.28935342469491,0.0844665125330175,0.0435519583152772,0.0435519583152772,0,0.0430589237711909,0,0.235473542976322,0.512717091007239,2.47594780149633,3.75284018356037,1.75947191571995,0.00130783636265401,10,0.873535062631737,8
"2",1,1,"S",53.59181976,0.525643639953658,"[52.0,54.2]","[0.383,0.589]",7.5,1.41041117717461,6.60589350524732,5.47191467209206,0.000145224169696083,0.0399397140921262,0.0399397140921262,0,0.0327385572497392,0.037496548298273,0.401483865193101,0.40486192775308,1.59284668181898,1.81309052007245,1.6285902553141,0.00295806661751292,10,0.8367247982579,8
"3",1,2,"R",52.34483314,0.419039211925114,"[52.0,54.2]","[0.383,0.589]",6.9,1.35067383797725,7.38436578409005,9.56949122391696,0.0403229634931653,0.0148993701117352,0.0148993701117352,0,0.0578206346065226,0.0196625084698111,0.194012105428688,0.547265550732205,3.74473775307627,5.41615644584499,1.81764871835998,0.117934683306646,10,0.898911422330283,8
"4",1,2,"S",52.40084457,0.422773848473623,"[52.0,54.2]","[0.383,0.589]",7.6,1.34083258830275,7.55542783027024,6.6730426876427,0.00359323592305567,0.0430122670733785,0.0430122670733785,0,0.0298559387552782,0.016597451413798,0.25925111747473,0.617018515524281,3.39966157598875,3.76946380321462,1.90065185775817,0.00293113844254176,10,0.885390113524643,8
"5",1,3,"R",51.59947008,0.373281546541913,"[50.6,52.0)","[0.274,0.383)",7.2,1.52440657620194,4.64458087028164,5.47417749764613,0.03344253296975,0.0272596080669091,0.0272596080669091,0,0.094846637007352,0,0.247753820720415,0.457778169565486,2.13400937544348,2.99209571879963,1.84126801290397,0.158276806707498,10,0.837367391632517,8
"6",1,3,"S",51.63314807,0.375275879245182,"[50.6,52.0)","[0.274,0.383)",7.1,1.46123871288703,7.76921554239274,10.754530015579,0.0209829315521347,0.0651938866613853,0.0651938866613853,0,0.0450786007915701,0.00322018950803513,0.293676230570269,0.615693436705986,3.85866101094952,4.04023155403398,1.8737452350865,0.0908313703236959,10,0.89780207185657,8
"7",1,4,"R",50.63983976,0.311859235890134,"[49.8,50.6)","[0.274,0.383)",7.66666666666667,1.46286619629866,3.95986819442091,4.00442737778728,0.0775139767596339,0.0181413890815553,0.0103053605440999,0.00783602853745541,0.0849690876016447,0.213656676141602,0.415824415812382,0.213349130067542,1.20115910233828,1.46641436682893,1.79488199314887,0.116153640541301,9,0.678349526717998,6
"8",1,4,"S",50.64850402,0.312490984285908,"[50.6,52.0)","[0.274,0.383)",7,1.50463464505086,3.54180779548328,3.78347766623634,0.107261411227135,0.0163573885663413,0.0148749866638443,0.00148240190249703,0.0644900481629215,0.173898016350198,0.458337632509985,0.281893388800219,1.6029767909429,1.76426842283542,1.91665034870197,0.0758679643906901,10,0.763129607113976,8
"9",1,5,"R",50.00503379,0.258739075777991,"[49.8,50.6)","[0.126,0.274)",7.66666666666667,1.45364849371878,4.35064778664229,4.0062064894671,0.136993930121919,0.0322967862453682,0.022056667339304,0.0102401189060642,0.0595953753211168,0.16866621933851,0.383777259995274,0.241604300775877,2.44446228296037,3.17427595401678,1.70041027542406,0.087116660840094,9,0.76291187574241,6
"10",1,5,"S",49.97881365,0.256201432137485,"[49.8,50.6)","[0.126,0.274)",6.88888888888889,1.47910887212796,2.68361843902836,2.68477905399644,0.141352458034271,0.0985367298012866,0.0293196667810725,0.069217063020214,0.0358090793532532,0.0503412777425737,0.492410876410144,0.235798740727425,1.33646999959238,1.51132389602188,1.69714021035102,0.0221440463173829,9,0.727489127890996,6
"11",1,6,"R",49.55701458,0.210688069652674,"[48.7,49.8)","[0.126,0.274)",10.8888888888889,1.95460924581669,3.31264148329929,3.53733632267345,0.0514061528452652,0.0296072445356908,0.0286167570208275,0.000990487514863258,0.0828653969621401,0.201977427110821,0.264589502897197,0.158000309810861,1.28380268138915,1.73012055417533,2.49664856014099,0.0281129920788639,9,0.659101588646204,6
"12",1,6,"S",49.57063031,0.212306348406696,"[48.7,49.8)","[0.126,0.274)",9.7,1.69010145232991,1.80358132720262,1.89972632821303,0.0898106180088082,0.0927891288995693,0.0927891288995693,0,0.0946409438335328,0.203780958968652,0.29699662198618,0.0884163004812624,0.957321673573346,1.09932627625255,2.40790391136387,0.0157825264607228,10,0.560343342171615,8
